image,label
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
[[0 0 0 ... 0 0 0]],digit_0
